excluir,TipoLogro,Fecha,Nombre,Institución,País,Descripción,Prioridad,URL,Archivo
,Financiamiento,2025,Convocatoria Ciencia Básica y de Frontera 2025,SECIHTI,México,"La solicitud CBF-2025-G-1031, titulada Metodos de IA para la homologacion, integracion y analisis de bases de datos de salud y seguridad, ha sido aprobada en el marco de la Convocatoria Ciencia Básica y de Frontera 2025, con un monto total autorizado de $ 1,990,800 (00/100 M.N).",,,Test File.pdf
,Reconocimiento,2026,Investigador en ciencias médicas A,Secretaría de Salud,México,,,,Test File.pdf
,SNII-1,2025,Sistema Nacional de Investigadores,CONACYT,México,Duración: 2026-2030,,,Test File.pdf
,Reconocimiento,2025,10 años de labor docente,UNAM,México,,,,Test File.pdf
,Agradecimiento,2024,Mecanismo de Esclarecimiento Histórico,SEGOB,México,"Colaboración: Informe final del Mecanismo para la Verdad y el Esclarecimiento Histórico, CdMx, Octubre.",,,Test File.pdf
,Mención,2023,Buena práctica,ONU,ONU,Mención del Angelus como buena práctica en el reporte A/HRC/54/22/Add.5 sobre desaparición forzada de la ONU.,,,Test File.pdf
x,Reconocimiento,2025,"Núcleo académico del programa de Maestría en Cómputo Estadístico del CIMAT Monterrey, como profesor de tiempo parcial externo",CIMAT-Monterrey,,,,,Test File.pdf
x,Reconocimiento,2024,Investigador en ciencias médicas A,Secretaría de Salud,México,,,,Test File.pdf
x,SNII-1,2020,Sistema Nacional de Investigadores,CONACYT,México,,,,Test File.pdf
x,Premio,2019,Publiton: análisis de contratos del gobierno de México,"Article 19, Fundar, Project Poder, CENCOS y SocialTic",México,,,,Test File.pdf
x,SNI-C,2017,Sistema Nacional de Investigadores,CONACYT,México,,,,Test File.pdf
x,Travel Grant,2017,Travel Fellowship Award ISMB/ECCB 2017,International Society for Computational Biology (ISCB),Czech Republic,,,,Test File.pdf
x,Travel Grant,2016,International Workshop in Genotype-Phenotype Maps,"Sainsbury Laboratory, University of Cambridge",United Kingdom,,,,Test File.pdf
x,Travel Grant,2015,Analysis and Control of Time-evolving Networks in Epidemiology and Evolutionary Medicine,Freie Universität Berlin,Germany,,,,Test File.pdf
